epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2808.88,1.25985,0.77387,1.31128,0.61104,0.60171,0.58926,0.28525,1.80579,1.04792,1.88569,9.91162e-05,9.91162e-05,9.91162e-05
88,2840.59,1.25023,0.75667,1.3106,0.69802,0.56745,0.59112,0.28678,1.81363,1.05412,1.89007,9.25129e-05,9.25129e-05,9.25129e-05
89,2872.08,1.26486,0.78265,1.32493,0.63628,0.56622,0.5943,0.28977,1.79752,1.04075,1.87414,8.59096e-05,8.59096e-05,8.59096e-05
90,2903.35,1.2559,0.78533,1.31093,0.57636,0.59719,0.59176,0.28876,1.80746,1.04828,1.89593,7.93063e-05,7.93063e-05,7.93063e-05
91,2933.27,1.24759,0.7254,1.3629,0.56565,0.55876,0.55961,0.26638,1.83203,1.04483,1.92009,7.2703e-05,7.2703e-05,7.2703e-05
92,2963.48,1.22396,0.70986,1.36071,0.69824,0.55671,0.56263,0.27566,1.80812,1.04417,1.89306,6.60997e-05,6.60997e-05,6.60997e-05
93,2993.11,1.20284,0.69352,1.33077,0.61732,0.5559,0.58084,0.28431,1.79595,1.03634,1.88468,5.94964e-05,5.94964e-05,5.94964e-05
94,3022.75,1.20096,0.68627,1.3278,0.5742,0.57202,0.5589,0.27551,1.79786,1.04713,1.887,5.28931e-05,5.28931e-05,5.28931e-05
95,3051.91,1.19419,0.68368,1.32956,0.71213,0.55695,0.58318,0.2848,1.79718,1.05183,1.89895,4.62898e-05,4.62898e-05,4.62898e-05
96,3081.89,1.19338,0.67971,1.32382,0.68703,0.55626,0.56877,0.28009,1.79547,1.0402,1.89469,3.96865e-05,3.96865e-05,3.96865e-05
97,3111.56,1.18488,0.67058,1.31421,0.68311,0.56324,0.5633,0.28253,1.79009,1.03819,1.89034,3.30832e-05,3.30832e-05,3.30832e-05
98,3142.11,1.18564,0.67147,1.31788,0.67943,0.56464,0.56298,0.28126,1.79866,1.04429,1.9042,2.64799e-05,2.64799e-05,2.64799e-05
99,3171.39,1.18297,0.67179,1.31791,0.68178,0.56,0.56974,0.28321,1.79344,1.03752,1.89887,1.98766e-05,1.98766e-05,1.98766e-05
100,3201.05,1.17276,0.66834,1.31631,0.66941,0.55565,0.55869,0.2802,1.79348,1.03482,1.89981,1.32733e-05,1.32733e-05,1.32733e-05
